EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;TOLL_POINT_TYPE;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
1506096756;1500450258;117.121;Virtual;MINISTRY OF TRANSPORTATION;6c7dc6086ea04803b7b1884bf55624d8;20120719132715;20210731081808;5100
1506096815;1500642697;533.732;Virtual;MINISTRY OF TRANSPORTATION;e70260f1283d494389db2552eff09ac3;20181221110739;20210731081808;5101
1506096827;1500379937;302.540;Virtual;MINISTRY OF TRANSPORTATION;0151d34a708e4aee97b862528c240b8f;20120208113355;20210731081808;5102
1506096851;1500460119;383.496;Virtual;MINISTRY OF TRANSPORTATION;be12bc5543754bb7bd097363c939880f;20120207130600;20210731081808;5103
1506096853;1500506570;156.476;Virtual;MINISTRY OF TRANSPORTATION;af6eea8230d942dc87a5ef53638c9846;20120207130820;20210731081808;5104
1506096708;1500526215;267.544;Virtual;MINISTRY OF TRANSPORTATION;f543512e83344a98be059dbd9d29c26f;20190114121316;20210731081808;5105
1506096771;1500530028;212.037;Virtual;MINISTRY OF TRANSPORTATION;181fa07885904f2cb5879570dd16b430;20130527152335;20210731081808;5106
1506096844;1500564079;520.382;Virtual;MINISTRY OF TRANSPORTATION;ccb536afe1de40f681423669cb6e73ae;20120410125752;20210731081808;5107
1506096743;1500622433;285.287;Virtual;MINISTRY OF TRANSPORTATION;fb03024d2e994c3e9892cd899f4eebd6;20120208115035;20210731081808;5108
1506096714;1500627932;575.323;Virtual;MINISTRY OF TRANSPORTATION;747bb84cfa9d4ca8b8aa8ce70b4c3e95;20120206132725;20210731081808;5109
1506096717;1500692098;287.972;Virtual;MINISTRY OF TRANSPORTATION;5cf889f5301842858ed0b2ae58422760;20120203141528;20210731081808;5110
1506096733;1500700466;232.223;Virtual;MINISTRY OF TRANSPORTATION;b07b6200c33f456bbe414e0d6279029f;20120803142946;20210731081808;5111
1506096755;1500728275;49.311;Virtual;MINISTRY OF TRANSPORTATION;53333368b3e1456888a8363f80472e7d;20120803145057;20210731081808;5112
2752296;1500445621;336.687;Virtual;MINISTRY OF TRANSPORTATION;d904d8e7a2c8477b859ded8e653444eb;20120803104702;20210731081808;5113
2781581;1512046511;91.411;Virtual;MINISTRY OF TRANSPORTATION;77079a88897946b889e7f4bddd5f8ed9;20190129100244;20210731081808;5114
2781582;1500614901;240.649;Virtual;MINISTRY OF TRANSPORTATION;6a3e136f1ff4408d9f73066734673982;20190129095752;20210731081808;5115
3549357;1500601231;468.717;Virtual;MINISTRY OF TRANSPORTATION;edf7db8e1f4d40be9748fb099bee7e96;20120803142022;20210731081808;5116
