EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;FROM_MEASURE;TO_MEASURE;ROUTE_NAME_ENGLISH;ROUTE_NAME_FRENCH;AGENCY_NAME;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
4162615;1510235173;0.000;908.418;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928155648;20210731081808;293408
4162624;1500397946;0.000;163.279;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928120818;20210731081808;293409
4162628;1500614222;0.000;445.721;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110929103329;20210731081808;293410
4162632;1510229487;0.000;77.425;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110331142615;20210731081808;293411
4162637;1500525818;0.000;6097.625;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121227095335;20210731081808;293412
4162657;1500354617;0.000;814.306;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928121404;20210731081808;293413
4162674;1510229489;0.000;685.604;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928120101;20210731081808;293414
4162675;1510229491;0.000;462.692;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928120023;20210731081808;293415
4162684;1500381213;0.000;270.062;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110929102629;20210731081808;293416
4162685;1500385488;101.956;0.000;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928134737;20210731081808;293417
4162693;1510230538;0.000;140.351;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928121211;20210731081808;293418
4162715;1510229834;0.000;1545.144;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928105441;20210731081808;293419
4162738;7303648;0.000;463.483;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20190429150945;20210731081808;293420
4162749;7303483;0.000;3952.304;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20190429143628;20210731081808;293421
4162761;1500333418;0.000;80.356;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130509133214;20210731081808;293422
4162780;1510237393;0.000;982.641;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928111620;20210731081808;293423
4162785;1500615654;0.000;124.337;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110331142936;20210731081808;293424
4162788;1500458278;0.000;46.376;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110331142936;20210731081808;293425
4162801;1500721241;0.000;23.328;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928095450;20210731081808;293426
4529449;4529443;0.000;1324.352;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20120911100545;20210731081808;293427
4529500;4529499;0.000;2036.806;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20120911101708;20210731081808;293428
4529506;4529499;0.000;2036.806;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20120911101708;20210731081808;293429
4529550;4529541;0.000;594.299;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20120911102638;20210731081808;293430
4534400;4534391;0.000;2242.664;Frontier Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170320160623;20210731081808;293431
4534401;4534391;0.000;2242.664;Great River Road;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170320160623;20210731081808;293432
4534978;4534976;0.000;869.348;Great River Road;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170320160309;20210731081808;293433
4535003;4534992;0.000;711.421;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170320160229;20210731081808;293434
4536776;4536763;78.122;0.000;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20120914110116;20210731081808;293435
4546591;4546581;0.000;255.404;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170320155755;20210731081808;293438
4547218;4547209;0.000;83.110;Frontier Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170316150059;20210731081808;293439
4547227;4547222;0.000;22.171;Frontier Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170316150107;20210731081808;293440
4548268;4548255;0.000;293.407;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130403151958;20210731081808;293441
4548276;4548269;0.000;58.301;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130403114831;20210731081808;293442
4548278;4548269;0.000;58.301;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130403114831;20210731081808;293443
4577208;4577206;0.000;21.374;African-Canadian Heritage Tour;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20150722095825;20210731081808;293444
4585446;4585444;0.000;208.195;Frontier Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121108084227;20210731081808;293445
4585546;4585538;20.064;0.000;Deer Trail Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121108104833;20210731081808;293446
4585714;4585702;0.000;509.786;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121108103558;20210731081808;293447
3561839;3561829;0.000;154.220;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130321083243;20211222125925;302763
4155152;1500597629;0.000;256.670;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130415112557;20211222125925;302764
4588625;4588617;0.000;805.342;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121113092716;20210731081808;293450
4588759;4588752;0.000;155.279;Frontier Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121113093912;20210731081808;293451
4589036;4589031;128.581;0.000;Frontier Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20190124124654;20210731081808;293452
4589776;4589775;0.000;142.864;Great River Road;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121113120333;20210731081808;293453
4589837;4589830;0.000;106.334;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130617132124;20210731081808;293454
4590000;4589999;0.000;51.281;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20191104140259;20210731081808;293455
4605947;4605938;0.000;49.567;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20150121144307;20210731081808;293456
4633018;4633009;102.194;0.000;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121212160018;20210731081808;293460
4661149;4661144;0.000;4246.872;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121227095310;20210731081808;293461
4661711;4661708;180.601;0.000;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121227133156;20210731081808;293463
5479892;5479874;0.000;3553.047;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20160530113722;20210731081808;293465
5533318;5533328;0.000;929.670;Frontier Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20140501102338;20210731081808;293466
5575706;5575697;0.000;63.829;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130415160721;20210731081808;293467
5581930;5581918;0.000;40.443;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130418132659;20210731081808;293468
5582082;5582074;0.000;28.590;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130418133557;20210731081808;293469
5585449;5585446;0.000;1364.757;Queen Elizabeth Way;;;20130419162827;20210731081808;293470
5596979;5596970;0.000;5.720;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130425090542;20210731081808;293471
5598145;5598125;0.000;236.678;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130430112549;20210731081808;293472
5603645;5603642;0.000;157.814;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130429115150;20210731081808;293473
5603843;5603835;0.000;16.168;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130429122419;20210731081808;293474
5620763;5620755;51.592;0.000;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20210223151458;20210731081808;293475
5621978;5621967;0.000;55.607;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130508104757;20210731081808;293476
5624190;5624185;0.000;113.414;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20190911154650;20210731081808;293477
5626026;5626011;0.000;87.031;Terry Fox Courage Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130510153808;20210731081808;293478
5626212;5626200;0.000;53.994;Trans-Canada Highway;Route Transcanadienne;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130513095103;20210731081808;293479
5626327;6071719;0.000;4071.184;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170516132419;20210731081808;293483
5626355;5626353;0.000;1927.500;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20190930175134;20210731081808;293484
5631901;1500431068;0.000;219.117;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20210125121854;20210731081808;293485
5631905;1500495170;0.000;1398.172;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111712;20210731081808;293486
5631930;1500381784;0.000;450.560;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111719;20210731081808;293489
5631939;1500738870;0.000;262.955;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111716;20210731081808;293490
5631944;1500418523;0.000;230.039;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111715;20210731081808;293491
5631951;1500459251;0.000;830.447;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111721;20210731081808;293492
5631966;1500487089;0.000;1481.219;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111718;20210731081808;293493
5631983;1500718670;0.000;378.142;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111719;20210731081808;293494
5631986;1506670135;0.000;94.591;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111715;20210731081808;293495
5631997;1500707008;0.000;611.627;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111717;20210731081808;293496
5632003;1500556712;0.000;221.000;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111715;20210731081808;293497
5632006;1500540109;0.000;370.761;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111713;20210731081808;293498
5632007;1500443957;0.000;199.583;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111720;20210731081808;293499
5632012;1500420955;0.000;2080.290;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111708;20210731081808;293500
5632028;1500663891;0.000;107.856;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130604143121;20210731081808;293501
5632029;1500702631;0.000;232.324;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111720;20210731081808;293502
5632031;1500741047;0.000;556.960;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20210122132731;20210731081808;293503
5632040;1509501621;0.000;394.563;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111722;20210731081808;293504
5632047;1500724317;0.000;204.158;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111717;20210731081808;293505
5632052;1500447886;0.000;2059.011;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111720;20210731081808;293506
5632058;1500647414;0.000;627.131;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111711;20210731081808;293507
5632082;1500631207;0.000;103.010;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111714;20210731081808;293508
5632086;1500692997;0.000;698.021;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111711;20210731081808;293509
5632087;1500695788;0.000;266.676;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130604143134;20210731081808;293510
5632093;1506798811;0.000;53.224;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20151007123233;20210731081808;293511
5632095;1507748602;0.000;606.077;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111709;20210731081808;293512
5632109;1509508664;0.000;1763.773;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111717;20210731081808;293513
5632114;1500480952;0.000;1964.011;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20210406140208;20210731081808;293514
5632117;1500695088;0.000;195.443;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111720;20210731081808;293515
5632121;1500667097;0.000;324.937;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111715;20210731081808;293516
5632129;3994760;0.000;2046.802;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20191118162012;20210731081808;293517
5632133;1500421522;0.000;2028.543;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20210125111552;20210731081808;293519
5632151;1509500334;0.000;2002.135;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111720;20210731081808;293521
5632153;1509508090;0.000;192.439;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111709;20210731081808;293522
5632162;1500524490;0.000;108.683;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111719;20210731081808;293523
5632178;1500654848;0.000;394.164;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111719;20210731081808;293524
5632187;1500344822;0.000;361.216;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111721;20210731081808;293525
