EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;FROM_MEASURE;TO_MEASURE;STRUCTURE_TYPE;STRUCTURE_NAME_ENGLISH;STRUCTURE_NAME_FRENCH;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
10818;1500660411;72.944;98.362;Bridge;;;;8ad2a98f50e8479984bcb06dcd54ffdd;20140505131234;20210731081808;244846
8723;1507547745;2916.008;2884.866;Bridge;;;;a2b27382620c4510a56cab312de8bed3;20160229141748;20210731081808;244848
2856;1500666174;73.451;92.612;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;8e511055f6164461ba49a3c3e1fb933b;20130715140222;20210731081808;244850
5617;1500660407;96.450;145.666;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;3f43a5ad6fcd4158b3758805dc2aa5b2;20130326095334;20210731081808;244851
3105;1500662947;1578.586;1589.620;Bridge;;;;9b33fcf24f5d4b9a8074151df15b413e;20180320163102;20210731081808;244852
335;1500662947;910.242;917.310;Bridge;;;;0fdb546bc5df47a2bbe0118d454fc07e;20180320163102;20210731081808;244853
4904;1500663129;228.432;244.698;Bridge;C.P.R. OVERHEAD;VIADUC DU C.P.R. @ WALFORD ;MINISTRY OF TRANSPORTATION;fcd9497d371144d095f5e248e842a8c6;20181019110223;20210731081808;244854
10145;1500666305;365.365;376.409;Bridge;;;;43c751ee09424a6d86344f1fb803e33f;20090514130151;20210731081808;244855
3786;1500673847;0.000;30.931;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;bfd62f43ce1749b1afa9fb8eaf65f4d3;20130422142825;20210731081808;244856
3975;1500666512;455.510;436.409;Bridge;;;;caea643755604c19964b4222e42e17f3;20111024114240;20210731081808;244857
6938;1500660871;451.256;504.152;Bridge;;;MINISTRY OF TRANSPORTATION;603f9706129b470fbf3cac9576212f3a;20121115130329;20210731081808;244858
219;1500660896;137.071;234.615;Bridge;;;;0ad864fe10d34904b50671b71619882d;20140721132616;20210731081808;244859
916;1500665073;0.000;32.670;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;2ca83a64b984446eb13179c831a7bbe8;20121115134410;20210731081808;244861
6547;1500672398;141.606;180.978;Bridge;OXFORD ROAD 3 BRIDGE;;;1542f974d2784cd584b76f4c8bb33630;20130829112712;20210731081808;244862
5505;1500669075;352.401;389.654;Bridge;;;MINISTRY OF TRANSPORTATION;cb25cd301e684eeca5b4c291302c8b78;20150506142617;20210731081808;244863
2928;1500672596;46.000;32.994;Bridge;;;;91e728b19e7e45859241bd8fe9731a73;20130109134638;20210731081808;244865
1753;1500671081;78.630;144.916;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;5694ced0ff5a4c51a97773cb15f79904;20130703141457;20210731081808;244866
3874;1500673459;164.051;183.372;Bridge;;;;c57d2b2190524542aae3e8014ef4c17c;20170525091512;20210731081808;244867
7095;1500668548;498.746;519.457;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;9c60a0f21daf42bf9ee27d4f3a0f8a39;20160125112651;20210731081808;244869
5026;1500673183;2490.078;2511.457;Bridge;;;;5b44d7f9186c42228f9c21bbc6e609bf;20090514130151;20210731081808;244870
11310;1500677184;101.384;114.983;Bridge;;;;b221920200704f93a2b3c22b603bbec0;20210312114925;20210731081808;244871
4467;1500677296;213.987;323.614;Bridge;;;;e4b68e18556c4c5d947727d292ea65a7;20140714112310;20210731081808;244872
2110;1500675657;2356.488;2387.483;Bridge;LARUE CREEK BRIDGE;;MINISTRY OF TRANSPORTATION;678eac4ab7f14f11b61360681fa5cab6;20141001135645;20210731081808;244873
376;1500674087;1155.530;1162.276;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;128f6b3d130b4bafa831f5ea105f40ea;20151203103457;20210731081808;244874
1803;1500686147;1446.368;1468.644;Bridge;;;MINISTRY OF TRANSPORTATION;58eb76bbfaf54283a419d0e1e15961f2;20130911141047;20210731081808;244875
4459;1500679089;327.805;352.366;Bridge;;;;e461992d38db45ffb97f967debac04da;20140711142811;20210731081808;244876
12325;1500676000;1160.473;1181.354;Bridge;;;;06e282e2133344519f070fb59c7c5ba6;20090514130151;20210731081808;244877
146;1500674625;1275.000;1296.000;Bridge;;;;077c95b0db694da5af9b080d3092e46c;20201204164741;20210731081808;244879
1979;1500674876;906.850;929.728;Bridge;;;;60beff514c224c8d941b0261e6691837;20141120104931;20210731081808;244880
5829;1500678595;60.010;207.609;Bridge;ALEXANDRA BRIDGE;;;a3514e8e6cf741149eb4a4e13ed15b42;20160211094932;20210731081808;244881
2037;1500686733;87.972;105.218;Bridge;;;;63a5f94e93374bac8ab1f7830873eb82;20121212155343;20210731081808;244883
11513;1500679942;226.855;235.460;Bridge;;;;060a45ae708842a4b41f69411e491525;20091022010442;20210731081808;244884
10056;1500675231;139.950;153.039;Bridge;;;;d455a357dab24d6689a790c989db61b5;20140303104213;20210731081808;244885
12324;1500675496;1771.912;1784.450;Bridge;;;;81672495952c4cbfa6110b9688f89c98;20090514130151;20210731081808;244886
9359;1500674916;76.221;112.911;Bridge;;;;00910a20d8d84f33b2aef84035de7eba;20170607130136;20210731081808;244887
9561;1500679012;323.465;336.035;Bridge;RICKLEY BRIDGE;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;5e23928facc24bcaa2a23cbdaac1641c;20150417104521;20210731081808;244888
10913;1500685110;2227.894;2436.959;Bridge;WINNIPEG RIVER BRIDGE WEST BRANCH;PONT DE LA RIVIÈRE WINNIPEG EMBRANCHEMENT OUEST ;MINISTRY OF TRANSPORTATION;b0a7c442ea944263b23e368ce5d288d5;20181019143227;20210731081808;244891
9971;1500680641;1000.951;1030.078;Bridge;;;;4a0abe1418a04ab0b51031157c7ce8b4;20090514130151;20210731081808;244892
11693;1500682365;1062.611;1102.372;Bridge;;;;f2e34fdb90564f6a85a7cf91ed124aff;20151109154514;20210731081808;244894
8693;1500683642;189.132;1036.918;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;b9c00bc40b504efeba6f44409db8c3e6;20160307135147;20210731081808;244895
1116;1500685878;471.067;526.071;Bridge;;;;359cf0895883421aace29d5fc7fc55ef;20090514130151;20210731081808;244896
10914;1500686249;268.416;336.422;Bridge;PELICAN RIVER BRIDGE;PONT DE LA RIVIÈRE PELICAN;MINISTRY OF TRANSPORTATION;7f33baba35204f91be85c119984d21f7;20181019121221;20210731081808;244897
9140;1500684364;143.230;120.669;Bridge;;;;f2c61cd6c3004a3c9ead8b8093f06d94;20090514130151;20210731081808;244898
513;1500683020;244.945;290.739;Bridge;;;;1a3772708f5b4357914dc13d9343b2d7;20130606150441;20210731081808;244900
5534;1500420594;295.297;382.865;Bridge;;;;29a48fe11c014766ae925627bdb22026;20130308140816;20210731081808;244901
3856;1500421162;10.983;3.994;Bridge;;;;c410458d1a0640499854d5e53da30176;20180412151234;20210731081808;244902
3372;1500421808;1291.331;1316.780;Bridge;;;;aa11df9d12fa430399af3b6fef82245c;20101222144618;20210731081808;244903
11179;1500421822;268.372;305.169;Bridge;;;;c3154849f50e4bfabd42830d5d4d6590;20090514130151;20210731081808;244904
12840;1500424387;1206.059;1252.677;Bridge;;;;b243d6dc46494d8ba55b2fa180465619;20091021181433;20210731081808;244905
9230;1500417182;193.649;229.420;Bridge;;;;649a629759894e67ad19e19843d87806;20170822152425;20210731081808;244906
5099;1500424850;615.523;670.626;Bridge;;;;3a3b099973ed4c3eb1143b2c85087fc3;20140213155004;20210731081808;244907
3483;1500453728;381.960;171.300;Bridge;;;;b0648f0ede22443188e85fdc47423de8;20111005161807;20210731081808;244909
5760;1500450735;162.040;391.185;Bridge;;;;c56e2b366ce443a18eaeebadd31f1c23;20090514130151;20210731081808;244910
7973;1500451106;1077.985;1098.577;Bridge;;;;e6951197f39d432e84145ed8de625b63;20090514130151;20210731081808;244911
8341;1500454752;0.000;595.444;Bridge;;;;2fc1427dcf474636ba04dbefd2e63a66;20150622101544;20210731081808;244913
10014;1500454829;1018.212;952.749;Bridge;;;;3a50ee718b704e39a194a727ef768e6e;20090514130151;20210731081808;244914
6505;1500462090;319.123;336.386;Bridge;;;;9b5ff840da8a466d82a3123225253265;20100507160417;20210731081808;244916
607;1500462722;1482.606;1490.667;Bridge;;;;1e268cb38410485caead09bbf708b0cf;20180413124158;20210731081808;244917
11192;1500459227;917.417;929.579;Bridge;;;;a7c5f980575c4987aeb6c63f64c0a282;20090514130151;20210731081808;244918
1925;1500347345;15.861;38.580;Bridge;;;;5e736bb0cdd4464c99c8d4b31853a8ce;20130403103950;20210731081808;239120
2833;1500347429;339.385;351.923;Bridge;;;;8c8392cebde140ac8d1060f6d9cfc71b;20090514130151;20210731081808;239121
29;1500350995;823.613;828.619;Bridge;;;;01b81a297a7748c0b7341b88ef26e150;20091022124311;20210731081808;239123
2670;1500348555;0.000;228.643;Bridge;RAINBOW BRIDGE;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;845d2faf99f643e9a9e28ad9f4203942;20151021115705;20210731081808;239124
11799;1500341163;1803.642;1835.901;Bridge;;;;887cdddc0d6f487c9e0570b9b7e32527;20201113094707;20210731081808;239125
4432;1500348169;1110.340;1141.727;Bridge;;;;e30bf149808449689c9de1710ecac9bb;20120924133828;20210731081808;239126
170;1500358531;369.883;491.460;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;087973d08a3440d085c4c0fa5e066569;20120628150828;20210731081808;239129
10585;1500351215;89.161;215.075;Bridge;;;;17d426d49f6441c0a829a799417fbfe7;20130827151356;20210731081808;239130
6897;1500345551;1070.424;1083.579;Bridge;;;;42fe6bb91d6d48b4ad84c0090da6d1ac;20090514130151;20210731081808;239131
