EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;BLOCKED_PASSAGE_TYPE;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
1502523516;1500457317;60.263;Removable;;f5815ec3d0734b96a835efbc34805ce2;20170309134709;20210731081808;5726941
1502527156;1500460642;0.000;Removable;;9f5127564ae64fdca178239393064173;20150714102906;20210731081808;5726943
1502524401;1500463619;224.094;Removable;;ecf8350bf6be4c97a1a1840cd0ed69ec;20180926130549;20210731081808;5726944
1502523637;1500472653;68.440;Removable;;adb4034974c240529f186eec2b17a7a3;20090123095704;20210731081808;5726945
1502523673;1500474698;417.765;Removable;;d14345e7ca20426ca34f31090a436944;20090123095704;20210731081808;5726946
1502524403;1500470214;4852.411;Removable;;1995883f94e949c9b24dc53010aa52fe;20090123095704;20210731081808;5726947
1502524063;1500471277;48.046;Removable;;2afdfa03744e440486ed0451467da26f;20090123095704;20210731081808;5726948
1502523528;1500480526;12.038;Removable;;ecdbf4c520a1411e959bb915664204f9;20120920133703;20210731081808;5726949
1502524019;1500476798;10.000;Removable;;75ea6e1af2204c1aad70354767c7141a;20090123095704;20210731081808;5726950
1502525555;1500508378;192.353;Removable;;3f825495f45c44fdb4da2169638c4b45;20090123095704;20210731081808;5726951
1502523406;1500516107;7.069;Removable;;1aa26023f2d04e48a7860d17dc5c9df2;20090123095704;20210731081808;5726952
1502523851;1500505724;306.197;Removable;;6dc4d0a002fd42efb55378a1b999a470;20090123095704;20210731081808;5726953
1502523985;1500511325;925.430;Removable;;67753cba005d47409ceec5cac577d42f;20090123095704;20210731081808;5726954
1502523229;1500517237;889.199;Removable;;8c83fda890df44a8925a2b6132e11b5b;20100622141555;20210731081808;5726955
1502523230;1500539914;18.243;Removable;;58ef691522f1485c93260c8305176574;20090123095704;20210731081808;5726956
1502526460;1500543262;0.000;Removable;;7d63ee3c8c8b4b4c98bacda74a937a5e;20190719111230;20210731081808;5726957
1502524599;1500558102;429.722;Removable;;4cedc66daca74c4da3b8d344f022a79c;20181031092332;20210731081808;5726959
1502525836;1507658169;1544.673;Removable;;9366f1bd73a44326bb068294e83fb4d2;20160504085544;20191011150817;5722741
1502524501;1500573244;0.000;Removable;;486028a960d34db68c9b08e5409f22e2;20090123095704;20210731081808;5726960
1502526384;1507658160;20.187;Removable;;47d0c0e1517542c1a9d69da36c384859;20140919104802;20191011150817;5722747
1502523906;1500566997;0.000;Removable;;2001fdddd05a4ba886e3d59b93da7b98;20090123095704;20210731081808;5726961
6816602;6811462;93.772;Removable;ONTARIO ROAD NETWORK;020d6afceb4b4011a20419178ae36ef1;20171117124607;20191011150817;5722754
1502523764;1500569305;46.799;Removable;;7acf532a62c14241b1a8e7dea7261719;20090123095704;20210731081808;5726962
1502526514;1500447141;143.280;Removable;ONTARIO ROAD NETWORK;b953e4f02b6f4bb187843b35b18550a9;20171101113126;20191011150817;5722768
1502527009;1500580300;0.000;Removable;;d320e056b8394661a6bb343509e28ee7;20091022155646;20210731081808;5726963
1502524226;1500583197;551.426;Removable;;cc622a7cd5ac4cbf89ba4e6706eff70f;20110930140347;20210731081808;5726964
1502523765;1500605922;148.827;Removable;;81b7bf249b824bd3b9114ab34a178499;20090123095704;20210731081808;5726965
1502523757;1500602595;2.827;Removable;;88884f9bac38418fbc57d7ac76c662ab;20090123095704;20210731081808;5726966
