EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;UNDERPASS_TYPE;AGENCY_NAME;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
7101;1500413876;81.302;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190807;20210731081808;497777
7129;1507388743;2826.935;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190806;20210731081808;497809
7157;1500548300;300.713;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190806;20210731081808;497825
7188;1500362870;546.855;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190807;20210731081808;497841
7238;1510033880;131.043;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20161003171202;20210731081808;497857
7280;1510032018;149.538;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190807;20210731081808;497889
7302;1510032024;128.720;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190806;20210731081808;497905
9976;6059196;505.835;Road;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20160620190939;20250129211552;615921
7315;5704427;73.140;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190806;20210731081808;497937
7339;1500746372;230.390;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190807;20210731081808;497953
7356;1510307284;267.945;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190807;20210731081808;497969
9981;6059196;504.380;Road;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20160620190701;20250129211552;615937
7406;1500423169;349.686;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190806;20210731081808;498017
7417;1500361252;296.523;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190806;20210731081808;498033
7435;1500429387;423.777;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190808;20210731081808;498049
7499;1500661864;579.787;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190808;20210731081808;498081
8199;1510240657;619.569;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190807;20210731081808;498097
8204;1510240910;296.405;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190808;20210731081808;498113
8224;4060605;2144.082;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190808;20210731081808;498129
8226;4060594;2150.243;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190807;20210731081808;498145
8251;1509821913;20.495;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190808;20210731081808;498161
8065;4070314;52.831;Road;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20160620190737;20250129211552;615953
8281;4068906;240.740;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190808;20210731081808;498193
8347;1510099256;193.619;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190808;20210731081808;498209
8390;4621698;48.416;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190807;20210731081808;498225
9379;1500350922;18.994;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190807;20210731081808;498241
